window_id,file,win_idx,true_label,predicted,prob,correct,cam_peak_hz,cam_peak_band,sig_peak_hz,sig_peak_band
BKG_00001,aaaaaaaq_s006_t000.pt,0,0,BACKGROUND,0.0076,True,2,Delta,2,Delta
BKG_00002,aaaaaaaq_s006_t000.pt,1,0,BACKGROUND,0.0059,True,2,Delta,2,Delta
BKG_00003,aaaaaaaq_s006_t000.pt,2,0,BACKGROUND,0.0045,True,2,Delta,2,Delta
BKG_00004,aaaaaaaq_s006_t000.pt,3,0,BACKGROUND,0.0044,True,2,Delta,2,Delta
BKG_00005,aaaaaaaq_s006_t000.pt,4,0,BACKGROUND,0.0044,True,2,Delta,2,Delta
BKG_00006,aaaaaaaq_s006_t000.pt,5,0,BACKGROUND,0.0044,True,2,Delta,2,Delta
BKG_00007,aaaaaaaq_s006_t000.pt,6,0,BACKGROUND,0.0044,True,2,Delta,2,Delta
BKG_00008,aaaaaaaq_s006_t000.pt,7,0,BACKGROUND,0.0187,True,2,Delta,2,Delta
BKG_00009,aaaaaaaq_s006_t000.pt,8,0,SEIZURE,0.8263,False,30,Beta,2,Delta
BKG_00010,aaaaaaaq_s006_t000.pt,9,0,SEIZURE,0.9715,False,21,Beta,2,Delta
BKG_00011,aaaaaaaq_s006_t000.pt,10,0,SEIZURE,0.9299,False,2,Delta,2,Delta
BKG_00012,aaaaaaaq_s006_t000.pt,11,0,SEIZURE,0.8714,False,21,Beta,2,Delta
BKG_00013,aaaaaaaq_s006_t000.pt,12,0,BACKGROUND,0.3827,True,2,Delta,2,Delta
BKG_00014,aaaaaaaq_s006_t000.pt,13,0,BACKGROUND,0.2751,True,2,Delta,2,Delta
BKG_00015,aaaaaaaq_s006_t000.pt,14,0,BACKGROUND,0.3202,True,2,Delta,2,Delta
BKG_00016,aaaaaaaq_s006_t000.pt,15,0,BACKGROUND,0.3399,True,11,Alpha,2,Delta
BKG_00017,aaaaaaaq_s006_t000.pt,16,0,BACKGROUND,0.2826,True,29,Beta,2,Delta
BKG_00018,aaaaaaaq_s006_t000.pt,17,0,BACKGROUND,0.1558,True,11,Alpha,2,Delta
BKG_00019,aaaaaaaq_s006_t000.pt,18,0,SEIZURE,0.5901,False,21,Beta,2,Delta
BKG_00020,aaaaaaaq_s006_t000.pt,19,0,SEIZURE,0.8515,False,21,Beta,2,Delta
BKG_00021,aaaaaaaq_s006_t000.pt,20,0,SEIZURE,0.5457,False,2,Delta,2,Delta
BKG_00022,aaaaaaaq_s006_t000.pt,21,0,SEIZURE,0.9146,False,21,Beta,2,Delta
BKG_00023,aaaaaaaq_s006_t000.pt,22,0,SEIZURE,0.9753,False,21,Beta,2,Delta
BKG_00024,aaaaaaaq_s006_t000.pt,23,0,SEIZURE,0.6253,False,11,Alpha,2,Delta
BKG_00025,aaaaaaaq_s006_t000.pt,24,0,BACKGROUND,0.1603,True,11,Alpha,2,Delta
BKG_00026,aaaaaaaq_s006_t000.pt,25,0,BACKGROUND,0.3009,True,11,Alpha,2,Delta
BKG_00027,aaaaaaaq_s006_t000.pt,26,0,SEIZURE,0.7425,False,11,Alpha,2,Delta
BKG_00028,aaaaaaaq_s006_t000.pt,27,0,SEIZURE,0.8551,False,21,Beta,2,Delta
BKG_00029,aaaaaaaq_s006_t000.pt,28,0,SEIZURE,0.8014,False,2,Delta,2,Delta
BKG_00030,aaaaaaaq_s006_t000.pt,29,0,SEIZURE,0.5649,False,11,Alpha,2,Delta
BKG_00031,aaaaaaaq_s006_t000.pt,30,0,BACKGROUND,0.3362,True,11,Alpha,2,Delta
BKG_00032,aaaaaaaq_s006_t000.pt,31,0,BACKGROUND,0.1782,True,11,Alpha,2,Delta
BKG_00033,aaaaaaaq_s006_t000.pt,32,0,BACKGROUND,0.3495,True,2,Delta,2,Delta
BKG_00034,aaaaaaaq_s006_t000.pt,33,0,SEIZURE,0.6315,False,21,Beta,2,Delta
BKG_00035,aaaaaaaq_s006_t000.pt,34,0,BACKGROUND,0.3977,True,2,Delta,2,Delta
BKG_00036,aaaaaaaq_s006_t000.pt,35,0,BACKGROUND,0.4675,True,2,Delta,2,Delta
BKG_00037,aaaaaaaq_s006_t000.pt,36,0,SEIZURE,0.7389,False,2,Delta,2,Delta
BKG_00038,aaaaaaaq_s006_t000.pt,37,0,SEIZURE,0.8018,False,2,Delta,2,Delta
BKG_00039,aaaaaaaq_s006_t000.pt,38,0,SEIZURE,0.7034,False,11,Alpha,2,Delta
BKG_00040,aaaaaaaq_s006_t000.pt,39,0,SEIZURE,0.6952,False,11,Alpha,2,Delta
BKG_00041,aaaaaaaq_s006_t000.pt,40,0,BACKGROUND,0.4779,True,21,Beta,2,Delta
BKG_00042,aaaaaaaq_s006_t000.pt,41,0,SEIZURE,0.5113,False,21,Beta,2,Delta
BKG_00043,aaaaaaaq_s006_t000.pt,42,0,SEIZURE,0.5752,False,2,Delta,2,Delta
BKG_00044,aaaaaaaq_s006_t000.pt,43,0,SEIZURE,0.73,False,2,Delta,2,Delta
BKG_00045,aaaaaaaq_s006_t000.pt,44,0,SEIZURE,0.788,False,21,Beta,2,Delta
BKG_00046,aaaaaaaq_s006_t000.pt,45,0,BACKGROUND,0.2672,True,11,Alpha,2,Delta
BKG_00047,aaaaaaaq_s006_t000.pt,46,0,BACKGROUND,0.339,True,2,Delta,2,Delta
BKG_00048,aaaaaaaq_s006_t000.pt,47,0,BACKGROUND,0.3058,True,11,Alpha,2,Delta
BKG_00049,aaaaaaaq_s006_t000.pt,48,0,SEIZURE,0.6413,False,2,Delta,2,Delta
BKG_00050,aaaaaaaq_s006_t000.pt,49,0,BACKGROUND,0.2182,True,11,Alpha,2,Delta
BKG_00051,aaaaaaaq_s006_t000.pt,50,0,BACKGROUND,0.1643,True,2,Delta,2,Delta
BKG_00052,aaaaaaaq_s006_t000.pt,51,0,BACKGROUND,0.2398,True,2,Delta,2,Delta
BKG_00053,aaaaaaaq_s006_t000.pt,52,0,BACKGROUND,0.3292,True,2,Delta,2,Delta
BKG_00054,aaaaaaaq_s006_t000.pt,53,0,BACKGROUND,0.389,True,2,Delta,2,Delta
BKG_00055,aaaaaaaq_s006_t000.pt,54,0,SEIZURE,0.5949,False,2,Delta,2,Delta
BKG_00056,aaaaaaaq_s006_t000.pt,55,0,SEIZURE,0.5034,False,2,Delta,2,Delta
BKG_00057,aaaaaaaq_s006_t000.pt,56,0,BACKGROUND,0.3467,True,2,Delta,2,Delta
BKG_00058,aaaaaaaq_s006_t000.pt,57,0,SEIZURE,0.7764,False,2,Delta,2,Delta
BKG_00059,aaaaaaaq_s006_t000.pt,58,0,SEIZURE,0.5557,False,21,Beta,2,Delta
BKG_00060,aaaaaaaq_s006_t000.pt,59,0,SEIZURE,0.5408,False,2,Delta,2,Delta
BKG_00061,aaaaaaaq_s006_t000.pt,60,0,SEIZURE,0.5186,False,2,Delta,2,Delta
BKG_00062,aaaaaaaq_s006_t000.pt,61,0,SEIZURE,0.7463,False,21,Beta,2,Delta
BKG_00063,aaaaaaaq_s006_t000.pt,62,0,BACKGROUND,0.2974,True,2,Delta,2,Delta
